unique_id,provider_id_person,first_name,last_name,year_of_birth,gender,dispersal_area,date_started_service,provider_id_housing_entry,housing_entry_date,housing_entry_accommodation,provider_id_housing_sustain,housing_sustainment_date,housing_sustain_accommodation,provider_id_baseline,ni_number,nationality,referral_source,current_dependants_uk,number_u18_HH,number_over_18_HH,age_profile_of_dependants_uk,date_arrived_in_uk,date_asylum_status_granted,language_level_on_entry,highest_qualification_achieved,age_finished_study,employed_in_home_country,occupation_type,occupation_sector,occupation_goal,prior_employment,employment_status,hours_of_employment,wage_baseline,education_training_status,housing_baseline_accommodation,homelessness_baseline,provider_id_integration_creation,integration_outcome_type_creation,integration_outcome_achieved_date_creation,integration_social_creation,integration_comms_language_creation,integration_digital_creation,provider_id_integration_6month,integration_outcome_type_6month,integration_outcome_achieved_date_6month,integration_social_6month,integration_comms_language_6month,integration_digital_6month,provider_id_integration_12month,integration_outcome_type_12month,integration_outcome_achieved_date_12month,integration_social_12month,integration_comms_language_12month,integration_digital_12month,provider_id_empl_inter,date_intermediate_employment_outcome,intermediate_employment_outcome_type,provider_id_empl_entry,employment_entry_outcome_type,date_employment_entry,primary_employment_entry_status,secondary_employment_entry_status,hours_of_employment_entry,wage_employment_entry,education_training_status_entry,employment_entry_occupation,employment_entry_sector,provider_id_empl_sustain,employment_sustainment_date,employment_sustain_status,hours_of_employment_sustain,wage_employment_sustain,education_training_status_sustain,employment_sustain_occupation,employment_sustain_sector,provider_id_last_seen,date_last_seen,reason_for_disengagement
YK-11,huge,idea,my,1974,Non-binary,Tameside Metropolitan Borough Council,2022-03,,,,,,,,YN642828C,ES,Local VCS,Yes,3,4,,2017-08,2021-07,Below formal levels,Level 1-2,,No,,,they,Yes,ULA,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,occur,Creation,2022-11-20,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,or,2021-11-13,control
FP-94,,station,put,2002,Prefer not to say,Plymouth City Council,2021-12,,2023-01-22,RPC,,2023-06-04,RLA,glass,CE038482D,IR,Other Health,No,,,5-11,2019-01,2021-06,Level 1,Level 5+,,No,,,him,Don't know,PC,,,Not in formal education,Publicly funded temporary accommodation,,,Creation,2023-01-23,tbc,tbc,tbc,,,,,,,,,,,,,know,2023-05-16,"business plan for self-employment, training course, work experience",skin,Employment,2023-01-06,PC,,31 to 48 hours,10,formal education,well,also,house,2023-07-07,Other,16 to 30 hours,12,Not in formal education,method,strong,,,
IU-25,,minute,away,1990,Man,South Tyneside Council,2022-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2023-01-25,tbc,tbc,tbc,Mr,6 month,2023-05-31,tbc,tbc,tbc,,12 month,2023-11-27,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,2021-12-04,analysis
LN-77,least,expect,surface,1960,Other,Coventry City Council,2022-06,,,,,,,,ZE246110C,CZ,Self-referrals,Yes,,3,5-11,2018-10,2020-05,Pre-entry,Below formal levels,,Yes,particularly,rule,on,No,TC,0 to 7 hours,,formal education,Other safe and secure accommodation,,near,Creation,2023-02-08,tbc,tbc,tbc,suggest,6 month,2023-05-10,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2021-10-07,
GE-81,interesting,kitchen,collection,1975,Prefer not to say,Manchester City Council,2022-02,,2023-01-06,RPC,,,,,ZC924061D,MO,Primary Care,No,,,,2018-11,2020-06,Entry level 2,Level 1-2,,Yes,radio,TV,ahead,Don't know,PC,,58,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,team,Creation,2023-01-10,tbc,tbc,tbc,eight,6 month,2023-05-25,tbc,tbc,tbc,position,12 month,2023-12-16,tbc,tbc,tbc,,2023-03-10,"Volunteering, another specified activity, business plan for self-employment, employability, work experience",,Self-employment,2023-02-05,TC,Other,49 or more hours,46,Not in formal education,none,most,more,2023-09-08,CIH,16 to 30 hours,90,Not in formal education,maybe,miss,throw,2022-03-01,
ZL-18,thus,interest,provide,1984,Non-binary,Darlington Borough Council,2022-04,,2022-11-01,RPC,,,,save,,GH,HO providers,No,,3,,2018-11,2021-07,Pre-entry,Level 5+,,Yes,full,around,realize,Yes,PC,,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,attention,Creation,2022-12-10,tbc,tbc,tbc,,6 month,2023-05-20,tbc,tbc,tbc,,12 month,2023-12-15,tbc,tbc,tbc,,2023-05-24,"Volunteering, another specified activity, business plan for self-employment, training course",lay,Self-employment,2022-11-10,TC,,49 or more hours,59,formal education,move,learn,,2023-09-20,Other,16 to 30 hours,82,Not in formal education,benefit,somebody,,,
EI-58,,there,reduce,1996,Woman,South Tyneside Council,2022-02,,2023-01-05,other,,,,write,,GL,Local VCS,No,,4,0-4,2018-04,2021-09,Beyond Level 2,Level 5+,,Yes,different,market,sign,Don't know,UNLA,49 or more hours,86,Not in formal education,Renting - private sector,,be,Creation,2022-11-01,tbc,tbc,tbc,,,,,,,,,,,,,sort,2023-05-30,"Registered business for self-employment, Volunteering, mentoring and/or coaching, sector-specific language training",,Self-employment,2023-01-06,Other,,16 to 30 hours,66,formal education,could,financial,,2023-07-18,Other,0 to 7 hours,36,Not in formal education,while,government,,,
MU-40,news,but,member,1965,Man,Plymouth City Council,2021-10,,,,,,,,TH424724D,NZ,Other Health,Yes,,0,,2018-08,2021-03,Entry level 1,Level 3-4,,No,,,list,No,ULA,,,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-11-22,tbc,tbc,tbc,,,,,,,,,,,,,,2023-04-01,"Volunteering, business plan for self-employment, employability",begin,Self-employment,2023-02-15,SE,CIH,8 to 15 hours,9,Not in formal education,number,act,new,2023-09-11,SE,16 to 30 hours,60,formal education,popular,human,,,
FM-89,,woman,system,1987,Man,Plymouth City Council,2022-04,,2023-01-16,other,,2023-04-08,RPC,,WM797909C,KW,Self-referrals,Yes,,8,Caring responsibilities for an adult,2018-12,2021-05,Entry level 2,Unknown,14,Yes,federal,of,herself,Yes,UNLA,16 to 30 hours,56,Not in formal education,Publicly funded temporary accommodation,,,Creation,2022-10-21,tbc,tbc,tbc,,6 month,2023-05-17,tbc,tbc,tbc,study,12 month,2023-12-01,tbc,tbc,tbc,,,,,Self-employment,2022-10-09,Other,CIH,31 to 48 hours,50,formal education,center,southern,,,,,,,,,,,
JE-18,,town,husband,1987,Man,Gateshead Council,2021-10,structure,2023-01-18,other,letter,2023-04-26,other,,BX540568D,TG,Primary Care,Yes,2,4,,2017-09,2021-05,Level 2,Level 1-2,,Yes,example,company,heart,Don't know,ULA,0 to 7 hours,,Not in formal education,Self-funded temporary accommodation (e.g. hotel),,debate,Creation,2022-11-06,tbc,tbc,tbc,,6 month,2023-05-24,tbc,tbc,tbc,,12 month,2023-12-11,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
RW-22,question,phone,similar,1976,Other,Redcar and Cleveland Council,2022-07,,,,,,,action,EH717248B,VN,Home Office,Yes,,,,2019-12,2021-10,Level 1,Unknown,12,Yes,modern,campaign,staff,Don't know,CIH,,61,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2022-11-21,tbc,tbc,tbc,tonight,6 month,2023-05-10,tbc,tbc,tbc,,,,,,,,2023-02-11,"Registered business for self-employment, another specified activity, training course, work experience",,Self-employment,2022-12-21,CIH,Other,16 to 30 hours,37,formal education,fact,avoid,official,2023-08-05,Other,49 or more hours,4,formal education,challenge,car,successful,2021-10-29,fear
ML-74,,gun,ability,1970,Woman,Sunderland City Council,2022-01,agency,2022-11-27,RPC,sure,2023-05-25,other,,HS950723B,JP,HO providers,Yes,,,,2019-10,2021-11,Level 1,Unknown,12,Yes,executive,some,gun,No,TC,31 to 48 hours,,formal education,Self-funded temporary accommodation (e.g. hotel),,,Creation,2022-11-02,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,share,2022-06-30,
SW-00,,of,example,1996,Man,Bury Council,2022-03,,,,,,,in,SP180998A,JO,Local VCS,No,,1,"0-4, 5-11",2019-05,2021-07,Beyond Level 2,Below formal levels,,No,,,indeed,Don't know,CIH,,,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-12-25,tbc,tbc,tbc,Republican,6 month,2023-05-16,tbc,tbc,tbc,,12 month,2023-12-18,tbc,tbc,tbc,,2023-04-04,"Internship, qualifications or skills, training course, work experience",describe,Self-employment,2023-01-12,TC,Other,49 or more hours,71,Not in formal education,talk,order,,,,,,,,,,,
JQ-24,,must,look,1980,Woman,Northumberland County Council,2022-01,,,,,,,,XZ268520D,SX,LA,Yes,3,6,,2017-07,2021-01,Level 1,Level 5+,,No,,,recognize,No,Other,8 to 15 hours,,formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,,2023-04-11,"qualifications or skills, sector-specific language training, training course, work experience",first,Employment,2022-10-03,CIH,CIH,8 to 15 hours,25,Not in formal education,among,son,sit,2023-06-02,SE,49 or more hours,27,Not in formal education,break,room,,,
OT-19,,nation,tax,1964,Man,Sunderland City Council,2021-11,economy,2022-12-19,RLA,,,,,KX096574C,PK,Home Office,No,6,5,,2020-01,2020-09,Pre-entry,Level 3-4,,No,,,or,Yes,SE,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,particular,Creation,2023-01-13,tbc,tbc,tbc,,6 month,2023-05-31,tbc,tbc,tbc,not,12 month,2023-11-21,tbc,tbc,tbc,form,2023-03-07,"Internship, Volunteering, business plan for self-employment, qualifications or skills, work experience",,Employment,2022-12-25,PC,,31 to 48 hours,12,Not in formal education,culture,each,,2023-06-24,SE,49 or more hours,58,Not in formal education,partner,pull,,,
NU-66,tonight,now,war,2002,Other,Bolton Council,2022-02,,2022-12-08,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,radio,2023-05-15,"Volunteering, employability, mentoring and/or coaching",natural,Self-employment,2023-02-25,SE,,49 or more hours,45,Not in formal education,line,maintain,,2023-09-16,Other,31 to 48 hours,12,Not in formal education,idea,long,,2021-11-21,shoulder
OU-47,speech,total,can,1960,Woman,Oldham Council,2022-02,fish,2023-01-19,RLA,anything,2023-06-14,other,,GX605621B,CC,Self-referrals,No,,4,Caring responsibilities for an adult,2019-10,2022-02,Beyond Level 2,Below formal levels,,No,,,without,Don't know,Other,49 or more hours,,Not in formal education,Other safe and secure accommodation,,,Creation,2023-01-10,tbc,tbc,tbc,,,,,,,,,,,,,place,2023-04-25,"qualifications or skills, sector-specific language training",support,Employment,2023-01-07,ZHC,Other,49 or more hours,37,Not in formal education,new,treat,,2023-10-02,CIH,49 or more hours,89,formal education,also,street,,,
NB-74,interest,away,late,1964,Non-binary,Bolton Council,2022-07,,,,,,,chair,ZW017863B,TL,LA,No,5,8,,2019-04,2021-07,Level 2,Unknown,14,Yes,wait,summer,strong,Yes,PC,49 or more hours,81,Not in formal education,Publicly funded temporary accommodation,,,Creation,2022-11-14,tbc,tbc,tbc,,6 month,2023-05-16,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,2023-02-06,"Internship, another specified activity, business plan for self-employment, employability",project,Employment,2022-10-14,PC,SE,31 to 48 hours,74,formal education,guess,soon,,2023-09-25,PC,31 to 48 hours,100,Not in formal education,respond,area,,,
MK-28,whole,his,get,1996,Woman,Hartlepool Borough Council,2022-05,,,,,,,example,KJ067795D,TL,Local VCS,No,6,,0-4,2017-09,2020-10,Level 1,Level 3-4,,No,,,sister,Yes,ZHC,,22,formal education,Other safe and secure accommodation,,drive,Creation,2022-11-29,tbc,tbc,tbc,,6 month,2023-06-01,tbc,tbc,tbc,,12 month,2023-11-24,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
XC-80,argue,quickly,answer,1967,Man,South Tyneside Council,2022-09,hundred,2023-01-20,RPC,feel,2023-03-12,other,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-01,tbc,tbc,tbc,top,6 month,2023-05-24,tbc,tbc,tbc,,12 month,2023-11-30,tbc,tbc,tbc,nation,2023-04-28,"Internship, qualifications or skills, work experience",bill,Employment,2022-11-25,ZHC,,0 to 7 hours,2,formal education,care,key,unit,2023-06-07,Other,31 to 48 hours,95,Not in formal education,he,term,,,
OE-47,,almost,sit,1979,Man,Sandwell Council,2021-12,onto,2022-10-29,other,,2023-07-18,RLA,,XY807493A,LS,Home Office,No,5,0,,2019-02,2021-07,Pre-entry,Level 5+,,No,,,able,Yes,SE,,12,Not in formal education,Asylum accommodation,,catch,Creation,2022-11-11,tbc,tbc,tbc,,6 month,2023-05-25,tbc,tbc,tbc,memory,12 month,2023-12-04,tbc,tbc,tbc,,2023-02-04,"employability, mentoring and/or coaching, sector-specific language training",dream,Employment,2022-10-29,ZHC,,31 to 48 hours,71,formal education,study,benefit,,,,,,,,,,,
DV-83,turn,eat,still,1979,Non-binary,Stockport Metropolitan Borough Council,2022-05,,2022-12-11,RPC,modern,2023-06-25,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-11-21,tbc,tbc,tbc,,6 month,2023-05-21,tbc,tbc,tbc,,12 month,2023-12-12,tbc,tbc,tbc,,,,,Employment,2022-10-12,CIH,SE,8 to 15 hours,13,formal education,night,give,,,,,,,,,,,
BJ-78,,theory,friend,1995,Man,Coventry City Council,2022-07,how,2022-11-26,other,,2023-05-09,RLA,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-07,tbc,tbc,tbc,which,6 month,2023-05-17,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MH-24,choose,might,exist,1998,Prefer not to say,Rochdale Borough Council,2022-03,,,,,,,,AX019669C,TK,Other,Yes,7,3,,2016-11,2020-09,Beyond Level 2,Level 3-4,,Yes,despite,artist,see,No,TC,8 to 15 hours,,formal education,Publicly funded temporary accommodation,,ahead,Creation,2022-11-20,tbc,tbc,tbc,,,,,,,,,,,,,,2023-04-22,"Internship, employability, training course, work experience",glass,Employment,2023-02-14,SE,SE,16 to 30 hours,98,Not in formal education,day,various,,2023-09-04,SE,0 to 7 hours,60,Not in formal education,concern,theory,,,
PA-12,,her,run,1978,Man,Gateshead Council,2021-12,,,,,,,space,ZT792808D,ID,Other Health,Yes,8,4,Caring responsibilities for an adult,2018-05,2021-04,Entry level 2,Level 3-4,,Yes,series,city,dinner,Don't know,ZHC,49 or more hours,,formal education,Other safe and secure accommodation,,weight,Creation,2022-12-08,tbc,tbc,tbc,,,,,,,,,,,,,,2023-05-06,"Volunteering, another specified activity, business plan for self-employment, sector-specific language training",,Employment,2023-01-15,SE,ZHC,Don't know,25,formal education,itself,long,,2023-06-20,SE,Don't know,58,Not in formal education,financial,shoulder,,,
FK-64,,fact,poor,1989,Other,Redcar and Cleveland Council,2021-11,,2023-01-24,RPC,,2023-03-26,other,,RE746804C,TO,Peer,Yes,0,5,,2018-08,2021-03,Level 1,Entry level,,Yes,have,eight,property,Yes,ZHC,31 to 48 hours,,formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,,2023-05-21,"Registered business for self-employment, mentoring and/or coaching, qualifications or skills, training course",,Employment,2022-12-25,CIH,,31 to 48 hours,18,Not in formal education,conference,important,,2023-09-08,SE,49 or more hours,61,formal education,peace,game,,,
PE-65,improve,per,month,1975,Woman,Redcar and Cleveland Council,2022-05,,,,,,,,NM733726A,KY,Other Health,Yes,8,,,2018-03,2020-10,Beyond Level 2,Below formal levels,,No,,,meeting,Yes,Other,49 or more hours,31,Not in formal education,Renting - private sector,,,Creation,2022-10-30,tbc,tbc,tbc,notice,6 month,2023-05-23,tbc,tbc,tbc,,12 month,2023-12-20,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
UY-77,positive,level,special,1970,Non-binary,Sandwell Council,2022-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,scientist,Creation,2023-01-14,tbc,tbc,tbc,deep,6 month,2023-05-21,tbc,tbc,tbc,,,,,,,,2023-03-30,"Internship, qualifications or skills",do,Employment,2022-12-19,SE,,Don't know,18,Not in formal education,million,to,,2023-06-05,Other,8 to 15 hours,81,Not in formal education,medical,help,,,
SQ-08,,kind,suggest,1992,Man,Sunderland City Council,2021-11,,,,,,,,,NL,Other,Yes,7,5,,2019-09,2022-02,Level 2,Level 3-4,,No,,,act,Don't know,SE,,,Not in formal education,Asylum accommodation,,,Creation,2022-11-09,tbc,tbc,tbc,candidate,6 month,2023-05-31,tbc,tbc,tbc,,12 month,2023-11-25,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
IP-97,,specific,buy,1957,Woman,Tameside Metropolitan Borough Council,2021-12,indicate,2022-11-21,RPC,,,,,YX461170D,SD,Local VCS,No,,,0-4,2017-07,2020-12,Level 2,Level 3-4,,No,,,but,No,ZHC,Don't know,,formal education,Homeless and rough sleeping,Non-statutory homelessness,such,Creation,2022-10-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,friend,Employment,2022-10-28,PC,SE,31 to 48 hours,44,Not in formal education,black,sell,,,,,,,,,,,
SL-86,raise,entire,accept,1957,Other,Wigan Council,2022-01,,,,,,,article,HE967869D,DJ,Migrant Help,Yes,3,,5-11,2019-05,2021-04,Entry level 3,Level 1-2,,No,,,down,No,ZHC,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,though,Creation,2023-01-26,tbc,tbc,tbc,,6 month,2023-05-26,tbc,tbc,tbc,,,,,,,strategy,2023-04-14,"Internship, Volunteering, employability, work experience",affect,Self-employment,2023-02-17,ZHC,,16 to 30 hours,27,Not in formal education,remember,can,,2023-06-14,Other,8 to 15 hours,25,Not in formal education,agree,item,network,2022-09-09,
OL-85,seven,where,long,2001,Other,North Tyneside Council,2021-11,involve,2022-11-24,RPC,difference,2023-03-24,other,trade,EJ789879C,EG,LA,Yes,,,,2018-11,2020-12,Level 2,Entry level,,Yes,during,four,energy,Don't know,ZHC,16 to 30 hours,34,Not in formal education,Renting - private sector,,another,Creation,2022-12-29,tbc,tbc,tbc,order,6 month,2023-05-30,tbc,tbc,tbc,,12 month,2023-12-20,tbc,tbc,tbc,,2023-02-26,"Internship, Registered business for self-employment, Volunteering",office,Self-employment,2023-01-19,CIH,,Don't know,24,formal education,ask,task,too,2023-07-06,CIH,0 to 7 hours,40,formal education,require,enter,,,
YL-47,,red,letter,1958,Prefer not to say,Coventry City Council,2022-08,,,,,,,store,GN145075D,AU,Primary Care,No,,,,2019-09,2021-07,Below formal levels,Entry level,,Yes,network,people,answer,Yes,Other,16 to 30 hours,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Statutory homelessness,series,Creation,2023-01-20,tbc,tbc,tbc,,,,,,,,,,,,,,,,,Self-employment,2022-09-28,PC,,Don't know,86,Not in formal education,charge,manager,,,,,,,,,,,
CK-61,yard,already,call,1960,Other,Stockton Council,2022-04,us,2022-11-02,RPC,,2023-03-15,RLA,,LN311343A,CU,Migrant Help,No,,,,2020-03,2021-10,Below formal levels,Entry level,,No,,,act,No,PC,8 to 15 hours,90,Not in formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,spend,2023-05-12,"employability, qualifications or skills",system,Employment,2023-02-11,ZHC,TC,Don't know,20,formal education,policy,themselves,increase,2023-09-02,TC,Don't know,9,formal education,society,change,,,
CZ-69,,certain,focus,1968,Man,Newcastle City Council,2022-04,,2022-12-27,RPC,,2023-04-26,RLA,,XK885701C,HU,Local VCS,No,,,"0-4, 11-17",2019-08,2021-03,Beyond Level 2,Level 5+,,No,,,including,Yes,ULA,,,formal education,Renting - private sector,,film,Creation,2022-12-10,tbc,tbc,tbc,know,6 month,2023-06-04,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HI-12,inside,certainly,interest,1970,Man,Darlington Borough Council,2022-02,,,,,,,indicate,SH318187C,SH,Home Office,No,,,,2017-04,2021-03,Entry level 3,Entry level,,Yes,discover,time,yard,Don't know,ULA,Don't know,54,Not in formal education,Asylum accommodation,,,Creation,2022-12-28,tbc,tbc,tbc,,6 month,2023-05-29,tbc,tbc,tbc,,12 month,2023-12-03,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,2022-09-17,
TF-06,little,so,style,1963,Prefer not to say,Bolton Council,2022-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-12-13,tbc,tbc,tbc,,6 month,2023-05-29,tbc,tbc,tbc,,,,,,,,2023-01-17,"Registered business for self-employment, qualifications or skills, sector-specific language training",,Employment,2022-11-14,Other,SE,49 or more hours,42,Not in formal education,water,effect,,,,,,,,,,2022-05-21,however
YM-06,chair,stage,create,1969,Woman,Salford City Council,2022-07,way,2022-11-01,other,end,2023-03-29,RLA,,JK144799B,CD,Other,No,4,8,,2017-07,2020-06,Level 2,Level 3-4,,No,,,group,Yes,CIH,8 to 15 hours,58,Not in formal education,Publicly funded temporary accommodation,,,Creation,2022-09-27,tbc,tbc,tbc,,,,,,,,,,,,,agree,2023-01-23,"Internship, mentoring and/or coaching, sector-specific language training",,Self-employment,2022-11-03,PC,PC,49 or more hours,92,Not in formal education,miss,lawyer,,,,,,,,,,2021-12-15,
PZ-55,decade,she,easy,1996,Non-binary,Rochdale Borough Council,2021-12,,2022-12-30,RPC,free,2023-05-04,other,,HC203905B,BZ,Self-referrals,No,,2,,2017-12,2021-09,Pre-entry,Entry level,,No,,,notice,No,ZHC,,,formal education,Self-funded temporary accommodation (e.g. hotel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QK-67,college,decision,fact,1972,Prefer not to say,Wolverhampton Council,2022-01,wife,2022-11-27,other,,2023-06-30,RLA,,KT950807D,TG,Primary Care,Yes,,4,11-17,2018-12,2021-12,Entry level 2,Unknown,18,Yes,generation,experience,pattern,Don't know,TC,8 to 15 hours,34,formal education,Renting - Local authority or housing association,,,Creation,2023-02-07,tbc,tbc,tbc,she,6 month,2023-05-16,tbc,tbc,tbc,,12 month,2023-12-17,tbc,tbc,tbc,note,2023-04-18,"Internship, sector-specific language training, training course",foreign,Self-employment,2023-01-25,TC,,49 or more hours,27,Not in formal education,model,interview,deal,2023-08-31,Other,16 to 30 hours,33,formal education,red,little,,,
SD-52,style,analysis,foot,1975,Non-binary,Redcar and Cleveland Council,2021-11,,2022-11-23,other,the,2023-07-24,RPC,measure,WK519504C,BB,Peer,Yes,7,2,,2019-02,2021-08,Beyond Level 2,Entry level,,No,,,next,Yes,CIH,Don't know,36,Not in formal education,Publicly funded temporary accommodation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NJ-90,,success,magazine,2000,Prefer not to say,Gateshead Council,2022-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,present,Creation,2022-11-17,tbc,tbc,tbc,,6 month,2023-05-20,tbc,tbc,tbc,,12 month,2023-12-08,tbc,tbc,tbc,,2023-06-09,"Internship, Registered business for self-employment, Volunteering, mentoring and/or coaching, qualifications or skills",hold,Self-employment,2022-11-29,CIH,CIH,0 to 7 hours,33,Not in formal education,future,see,,2023-06-21,TC,49 or more hours,26,formal education,mother,bill,,,
NX-68,,important,meeting,1975,Man,South Tyneside Council,2022-04,already,2022-11-17,RPC,international,2023-07-18,RPC,,GZ253490D,SX,DWP,No,8,,"0-4, Caring responsibilities for an adult",2017-10,2021-12,Level 1,Below formal levels,,No,,,few,Yes,SE,49 or more hours,61,formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2023-02-04,tbc,tbc,tbc,,6 month,2023-06-05,tbc,tbc,tbc,,12 month,2023-11-29,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
NY-47,,bill,result,1966,Other,Bury Council,2022-06,,,,,,,modern,KW789405A,AO,HO providers,Yes,,3,"11-17, 5-11",2020-05,2021-02,Beyond Level 2,Unknown,15,No,,,this,No,TC,8 to 15 hours,,Not in formal education,Publicly funded temporary accommodation,,well,Creation,2022-12-16,tbc,tbc,tbc,PM,6 month,2023-05-19,tbc,tbc,tbc,base,12 month,2023-11-25,tbc,tbc,tbc,,2023-05-26,"Internship, business plan for self-employment, mentoring and/or coaching",,Employment,2023-01-26,TC,,31 to 48 hours,5,formal education,anything,knowledge,,2023-09-09,Other,16 to 30 hours,59,formal education,foreign,business,improve,2022-08-27,
VC-27,environment,break,author,1998,Other,Coventry City Council,2022-05,,2022-12-13,other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR-63,,rule,back,1969,Prefer not to say,Bury Council,2021-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Creation,2022-10-26,tbc,tbc,tbc,,6 month,2023-05-31,tbc,tbc,tbc,truth,12 month,2023-11-26,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
IR-03,adult,pattern,while,1993,Prefer not to say,Sandwell Council,2022-06,,,,,,,report,ZA601222D,PA,HO providers,Yes,1,,0-4,2019-11,2021-11,Pre-entry,Level 5+,,No,,,man,Don't know,PC,,34,formal education,Other safe and secure accommodation,,,,,,,,,,,,,,,,,,,,debate,2023-02-28,"employability, qualifications or skills, sector-specific language training",fund,Employment,2022-12-07,TC,PC,31 to 48 hours,92,formal education,both,experience,six,2023-09-02,PC,31 to 48 hours,38,Not in formal education,travel,research,,,
FE-41,third,field,yes,1982,Non-binary,Gateshead Council,2021-10,,2022-11-01,RLA,particular,2023-03-27,RLA,talk,,TK,DWP,No,,4,,2018-01,2020-12,Entry level 3,Unknown,22,No,,,sign,No,SE,,60,formal education,Homeless and rough sleeping,Non-statutory homelessness,,,,,,,,,,,,,,,,,,,,2023-02-06,"Volunteering, another specified activity, business plan for self-employment, qualifications or skills",small,Self-employment,2022-10-23,TC,TC,Don't know,44,formal education,responsibility,minute,enough,2023-10-07,SE,Don't know,36,formal education,school,tax,,2022-03-21,type
HF-74,,student,crime,1996,Prefer not to say,Redcar and Cleveland Council,2021-12,according,2023-01-10,RLA,table,2023-04-21,RPC,,,DE,Primary Care,Yes,4,,,2018-06,2021-09,Entry level 2,Unknown,23,No,,,responsibility,No,TC,,28,Not in formal education,Renting - Local authority or housing association,,,Creation,2022-10-13,tbc,tbc,tbc,,,,,,,,,,,,,,,,oil,Employment,2022-11-19,SE,,0 to 7 hours,65,formal education,office,argue,,,,,,,,,,,
TW-14,,usually,Mr,1968,Man,Rochdale Borough Council,2021-12,,,,,,,sure,YE654616A,CD,Other,No,7,1,,2018-10,2021-07,Pre-entry,Level 1-2,,Yes,cover,star,moment,Yes,Other,49 or more hours,,formal education,Publicly funded temporary accommodation,,,Creation,2022-12-08,tbc,tbc,tbc,,6 month,2023-05-10,tbc,tbc,tbc,right,12 month,2023-11-26,tbc,tbc,tbc,,,,,,,,,,,,,,,,,,,,,,,,
CE-61,,free,top,1957,Woman,Wolverhampton Council,2021-12,,2022-11-13,RLA,,2023-08-29,RLA,some,GP937090A,NZ,DWP,No,,7,"0-4, 11-17",2018-12,2021-07,Beyond Level 2,Entry level,,Yes,loss,build,heavy,No,ULA,,,Not in formal education,Homeless but not rough sleeping (e.g. living with friends or family),Non-statutory homelessness,,Creation,2022-11-29,tbc,tbc,tbc,,6 month,2023-06-02,tbc,tbc,tbc,,12 month,2023-12-09,tbc,tbc,tbc,such,2023-01-16,"Internship, another specified activity, employability, mentoring and/or coaching",,Employment,2023-01-30,ZHC,,0 to 7 hours,82,Not in formal education,could,media,interesting,2023-06-20,CIH,8 to 15 hours,3,Not in formal education,the,family,,,
